"organization","slug","dataset","resource","url","operations","columns","fact"
"CDI","cdi","localidades indígneas","Localidades indigenas 2010","http://busca.datos.gob.mx/#/conjuntos/localidades-indigneas","Procedimiento en Bash","B,K","En 2010 la población indígena total registrada en el territorio mexicano es de 11,132,562 de individuos."
"CDI","cdi","localidades indígenas","Localidades indigenas 2010","http://busca.datos.gob.mx/#/conjuntos/localidades-indigenas","Procedimiento en Bash","B,K","En 2010 el estado con mayor población indígena fue Oaxaca con 5,158,392 de individuos."
"CDI","cdi","Distribución de los pueblos indígenas por entidad federativa","Pueblos indígenas por estado, 2010","http://busca.datos.gob.mx/#/conjuntos/distribucion-de-los-pueblos-indigenas-por-entidad-federativa","Procedimiento en Bash","A,C","En 2010 el pueblo indígena con mayor población a nivel nacional es Náhuatl con 2,587,452 individuos."
"CDI","cdi","Distribución de los pueblos indígenas por entidad federativa","Pueblos indígenas por estado, 2010","http://busca.datos.gob.mx/#/conjuntos/distribucion-de-los-pueblos-indigenas-por-entidad-federativa","Procedimiento en Bash","A,C","En 2010 el pueblo indígena con menor población a nivel nacional es Ayapaneco con 57 individuos"
"CDI","cdi","Educación Indígena","Becas para estudiantes indígenas de nivel superior","http://busca.datos.gob.mx/#/conjuntos/educacion-indigena","tabla","B,J","Para 2015, el monto total de apoyo en becas para estudiantes indígenas de nivel superior fue de $9'038,000.00; Chiapas fue el estado con el mayor apoyo otorgado (un monto de $1'245,000.00)"
"CDI","cdi","Localidades indígenas","Catalogo de localidades indígenas 2010","http://busca.datos.gob.mx/#/conjuntos/localidades-indigenas","tabla","F","En 2010, se tenía registro de 20,153 localidades indígenas en México"
"INMUJERES","inmujeres","Estadísticas de mujeres","Mujeres propietarias de la vivienda","http://busca.datos.gob.mx/#/conjuntos/estadisticas-de-mujeres","tabla","B,C","De 2006 a 2012, el número de mujeres propietarias de vivienda en el país se elevó de 7'499,632 a 8'647,264, representando una tasa de crecimiento en este rubro de 15.30%."
"INMUJERES","inmujeres","Estadísticas de mujeres","Mujeres sin ingresos propios","http://busca.datos.gob.mx/#/conjuntos/estadisticas-de-mujeres","tabla","A,C,D","El porcentaje de mujeres mayores de 15 años sin ingresos propios a nivel nacional se redujo de 32.16% (2008) a 29.86% (2010)"
"INMUJERES","inmujeres","Estadísticas de mujeres","Mujeres en puestos directivos de la administración pública","http://busca.datos.gob.mx/#/conjuntos/estadisticas-de-mujeres","tabla","B,C","El número de mujeres en puestos directivos de la administración pública a nivel nacional se elevó de 21,867 (2005) a 29,611 (2014), es decir, más del 35%."
"INMUJERES","inmujeres","Estadísticas de mujeres","Senadoras","http://busca.datos.gob.mx/#/conjuntos/estadisticas-de-mujeres","tabla","B,C","El número de senadoras se elevó de 24 (2004) a 44 (2014), es decir, más del 80%."
"INMUJERES","inmujeres","Estadísticas de mujeres","Diputadas","http://busca.datos.gob.mx/#/conjuntos/estadisticas-de-mujeres","tabla","B,C","De 2005 a 2015, el número de diputadas aumentó un 68.64%
 (de 118 a 199)."
